bike_model_id,model_name_check,model_slug,task,frame_code,year_range,oem_part_no,recommended_part_no,compatibles,spec,source_1_name,source_1_url,source_2_name,source_2_url,verified_at,note
181,ct125ハンターカブ,ct125,battery,8BJ-JA65,2024/12〜,,YTZ5S,台湾ユアサ:YTZ5S|古河電池:FTZ5S,voltage=12V;capacity=3.5Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,
181,ct125ハンターカブ,ct125,battery,2BJ-JA55,2022/01〜,,GTZ5S,台湾ユアサ:YTZ5S|古河電池:FTZ5S,voltage=12V;capacity=3.5Ah;type=VRLA,GSユアサ バイク用バッテリー適合検索,https://gyb.gs-yuasa.com/fit/bike/search/,,,2026-07-06,
