prefecture,prefecture_slug,city,name,official_url,futsuu_nirin,oogata_nirin,source_url,verified_at
奈良県,nara,奈良市,奈良自動車学校,https://nara-motorschool.com/,1,1,https://www.police.pref.nara.jp/0000005085.html,2026-08-23
奈良県,nara,桜井市,桜井自動車教習所,https://www.sakurai-ds.jp/,1,1,https://www.police.pref.nara.jp/0000005085.html,2026-08-23
奈良県,nara,生駒郡安堵町,法隆寺自動車教習所,https://www.forjy.co.jp/horyujids/,1,1,https://www.police.pref.nara.jp/0000005085.html,2026-08-23
奈良県,nara,香芝市,葛城自動車学校,https://katsuragi-ds.jp/,1,0,https://www.police.pref.nara.jp/0000005085.html,2026-08-24
