station_code,current_name,reason
01015,道の駅まるせっぷ,公式一覧に該当なし（登録抹消）
12020,道の駅南房パラダイス,公式一覧に該当なし（登録抹消）
15025,道の駅芸能とトキの里,公式一覧に該当なし（登録抹消）
21042,道の駅飛騨古川いぶし,公式一覧に該当なし（登録抹消）
