station_code,prefecture,name,official_name,city,registration_no,designated_year,website_url,latitude,longitude
23017,愛知県,道の駅とよはし,とよはし,豊橋市,第50回,2019,https://www.cbr.mlit.go.jp/michinoeki/aichi/aichi17.html,,
23018,愛知県,道の駅したら,したら,北設楽郡設楽町,第53回,2020,https://www.cbr.mlit.go.jp/michinoeki/aichi/aichi18.html,,
23019,愛知県,道の駅マチテラス日進,マチテラス日進,日進市,第61回,2024,,,
26020,京都府,道の駅京都新光悦村,京都新光悦村,南丹市,第18回,2002,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/shinkoetsu.html,,
26021,京都府,道の駅丹後王国「食のみやこ」,丹後王国「食のみやこ」,京丹後市,第19回,2003,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/tangooukoku.html,,
26022,京都府,道の駅美山ふれあい広場,美山ふれあい広場,南丹市,第21回,2005,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/miyamafureaihiroba.html,,
28037,兵庫県,道の駅よかわ,よかわ,三木市,第61回,2024,,,
29016,奈良県,道の駅なら歴史芸術文化村,なら歴史芸術文化村,天理市,第55回,2021,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/nara/NaraPrefectureHistoricalandArtisticCultureComplex.html,,
29017,奈良県,道の駅クロスウェイなかまち,クロスウェイなかまち,奈良県,第59回,2023,,,
29018,奈良県,道の駅きなりの郷下北山,きなりの郷下北山,吉野郡下北山村,第63回,2025,,,
30035,和歌山県,道の駅四季の郷公園,四季の郷公園,和歌山市,第52回,2020,https://www-1.kkr.mlit.go.jp/road/michi_no_eki/contents/wakayama/Shikinosatokouen.html,,
30036,和歌山県,道の駅海南サクアス,海南サクアス,海南市,第58回,2023,,,
31016,鳥取県,道の駅ほうじょう,ほうじょう,東伯郡北栄町,第3回,1993,https://www.cgr.mlit.go.jp/douro/Michi-no-Eki/single.html?name=%E3%81%BB%E3%81%86%E3%81%98%E3%82%87%E3%81%86%EF%BC%88%E6%97%A7%E5%8C%97%E6%9D%A1%E5%85%AC%E5%9C%92%EF%BC%89,,
31017,鳥取県,道の駅琴の浦,琴の浦,東伯郡琴浦町,第46回,2016,https://www.cgr.mlit.go.jp/douro/Michi-no-Eki/single.html?name=%E7%90%B4%E3%81%AE%E6%B5%A6,,
31018,鳥取県,道の駅西いなば 気楽里,西いなば 気楽里,鳥取市,第50回,2019,https://www.cgr.mlit.go.jp/douro/Michi-no-Eki/single.html?name=%E8%A5%BF%E3%81%84%E3%81%AA%E3%81%B0%E6%B0%97%E6%A5%BD%E9%87%8C,,
32029,島根県,道の駅ごいせ仁摩,ごいせ仁摩,大田市,第53回,2020,https://www.cgr.mlit.go.jp/douro/Michi-no-Eki/single.html?name=%E3%81%94%E3%81%84%E3%81%9B%E4%BB%81%E6%91%A9,,
33017,岡山県,道の駅山陽道やかげ宿,山陽道やかげ宿,小田郡矢掛町,第53回,2020,https://www.cgr.mlit.go.jp/douro/Michi-no-Eki/single.html?name=%E5%B1%B1%E9%99%BD%E9%81%93%E3%82%84%E3%81%8B%E3%81%92%E5%AE%BF,,
34020,広島県,道の駅三矢の里あきたかた,三矢の里あきたかた,安芸高田市,第52回,2020,https://www.cgr.mlit.go.jp/douro/Michi-no-Eki/single.html?name=%E4%B8%89%E7%9F%A2%E3%81%AE%E9%87%8C%E3%81%82%E3%81%8D%E3%81%9F%E3%81%8B%E3%81%9F,,
34021,広島県,道の駅西条のん太の酒蔵,西条のん太の酒蔵,東広島市,第56回,2022,https://www.cgr.mlit.go.jp/douro/Michi-no-Eki/single.html?name=%E8%A5%BF%E6%9D%A1%E3%81%AE%E3%82%93%E5%A4%AA%E3%81%AE%E9%85%92%E8%94%B5,,
36017,徳島県,道の駅いたの,いたの,板野郡板野町,第53回,2020,https://www.skr.mlit.go.jp/road/rstation/eki/to17_itano.html,,
36018,徳島県,道の駅くるくる なると,くるくる なると,鳴門市,第55回,2021,https://www.skr.mlit.go.jp/road/rstation/eki/to18_naruto.html,,
37019,香川県,道の駅瀬戸大橋記念公園,瀬戸大橋記念公園,坂出市,第4回,1994,https://www.skr.mlit.go.jp/road/rstation/eki/ka01_setooohashi.html,,
37020,香川県,道の駅小豆島オリーブ公園,小豆島オリーブ公園,小豆郡小豆島町,第11回,1996,https://www.skr.mlit.go.jp/road/rstation/eki/ka05_olive.html,,
39025,高知県,道の駅まきのさんの道の駅・佐川,まきのさんの道の駅・佐川,高岡郡佐川町,第58回,2023,https://www.skr.mlit.go.jp/road/rstation/eki/ko25_sakawa.html,,
39026,高知県,道の駅東洋町,東洋町,安芸郡東洋町,第61回,2024,https://www.skr.mlit.go.jp/road/rstation/eki/ko26_toyotown.html,,
40017,福岡県,道の駅筑前みなみの里,筑前みなみの里,朝倉郡筑前町,第51回,2019,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/chikuzen/chikuzen.html,,
41010,佐賀県,道の駅うれしの まるく,うれしの まるく,嬉野市,第56回,2022,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/ureshino/ureshino.html,,
41011,佐賀県,道の駅かみみね,かみみね,三養基郡上峰町,第61回,2024,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/kamimine/kamimine.html,,
42012,長崎県,道の駅２５１いいもりじゃがーロード,２５１いいもりじゃがーロード,諫早市,第62回,2025,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/iimori/iimori.html,,
43031,熊本県,道の駅﨑津,﨑津,天草市,第49回,2018,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/sakitsu/sakitsu.html,,
43032,熊本県,道の駅人吉,人吉,人吉市,第50回,2019,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/hitoyoshi/hitoyoshi.html,,
43033,熊本県,道の駅天草市イルカセンター,天草市イルカセンター,天草市,第50回,2019,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/amakusairuka/amakusairuka.html,,
43034,熊本県,道の駅宮地岳かかしの里,宮地岳かかしの里,天草市,第52回,2020,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/miyajidake/miyajidake.html,,
43035,熊本県,道の駅東陽,東陽,八代市,第53回,2020,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/touyou/touyou.html,,
43036,熊本県,道の駅秘境の郷いずみ,秘境の郷いずみ,八代市,第60回,2024,https://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/izumi/izumi.html,,
43037,熊本県,道の駅ウェルネスあらお,ウェルネスあらお,荒尾市,第63回,2025,,,
44025,大分県,道の駅のつはる,のつはる,大分市,第50回,2019,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/notsuharu/notsuharu.html,,
44026,大分県,道の駅たのうらら,たのうらら,大分市,第59回,2023,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/tanoura/tanoura.html,,
45018,宮崎県,道の駅くしま,くしま,串間市,第53回,2020,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/kushima/kushima.html,,
45019,宮崎県,道の駅きたごう,きたごう,日南市,第58回,2023,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/kitagou/kitagou.html,,
46023,鹿児島県,道の駅奄美大島住用,奄美大島住用,奄美市,第16回,2000,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/amami/amami.html,,
46024,鹿児島県,道の駅とくのしま,とくのしま,大島郡徳之島町,第60回,2024,http://www.qsr.mlit.go.jp/n-michi/michi_no_eki/kobetu/tokunosima/tokunosima.html,,
47009,沖縄県,道の駅サンライズひがし,サンライズひがし,国頭郡東村,第52回,2020,http://www.dc.ogb.go.jp/road/Michi-no-Eki/higashi.htm,,
47010,沖縄県,道の駅やんばるパイナップルの丘安波,やんばるパイナップルの丘安波,国頭郡国頭村,第55回,2021,http://www.dc.ogb.go.jp/road/Michi-no-Eki/aha.htm,,
