prefecture_slug,name,address
saga,ふじ自動車学校,佐賀市富士町大字内野442-4
saga,伊万里自動車学校,伊万里市立花町939-2
saga,南佐賀自動車学校,佐賀市南佐賀一丁目19番1号
saga,南鳥栖自動車学院,鳥栖市酒井西町630-1
saga,唐津自動車学校,唐津市山本1437番地6
saga,基山ドライビングスクール,三養基郡基山町大字小倉1700
saga,大町自動車学校,杵島郡大町町大字福母2405
saga,大町自動車学校鍋島校,佐賀市鍋島町八戸溝1424
saga,武雄自動車学校,武雄市朝日町大字甘久1483
saga,虹の松原自動車学校,唐津市松南町2-6
saga,鹿島自動車学校,鹿島市高津原158-1
